Date,Open,High,Low,Close,Adj Close,Volume
2024-04-18,272.57000732421875,273.1499938964844,269.8599853515625,271.3699951171875,267.35943603515625,8231800
2024-04-19,271.4700012207031,272.0,268.2900085449219,269.7799987792969,265.79296875,7905400
2024-04-22,270.95001220703125,273.760009765625,269.3599853515625,272.3299865722656,268.3053283691406,6463700
2024-04-23,274.010009765625,274.8900146484375,272.7099914550781,274.1099853515625,270.0589599609375,6438000
2024-04-24,282.57000732421875,283.0,274.489990234375,275.0199890136719,270.95550537109375,8807200
2024-04-25,272.9700012207031,276.2200012207031,270.489990234375,275.1600036621094,271.0934753417969,8064600
2024-04-26,275.010009765625,276.7699890136719,273.8299865722656,274.5199890136719,270.462890625,6840600
2024-04-29,272.32000732421875,274.4700012207031,271.0899963378906,271.8399963378906,267.82257080078125,4128600
2024-04-30,270.5299987792969,272.0799865722656,268.5799865722656,268.6099853515625,264.64019775390625,6376400
2024-05-01,268.1499938964844,270.9100036621094,266.7099914550781,267.32000732421875,263.36932373046875,6119900
2024-05-02,269.3500061035156,269.4700012207031,266.6499938964844,267.6099853515625,263.6549987792969,5061700
2024-05-03,269.0,269.45001220703125,266.5,268.489990234375,264.5220031738281,3862000
2024-05-06,269.6499938964844,272.7799987792969,269.57000732421875,272.6700134277344,268.6402893066406,3958700
2024-05-07,273.7200012207031,277.8800048828125,272.8299865722656,276.4599914550781,272.37420654296875,6377100
2024-05-08,277.79998779296875,278.54998779296875,274.9200134277344,277.19000244140625,273.0934753417969,9029700
2024-05-09,276.79998779296875,278.7900085449219,276.3999938964844,278.5400085449219,274.4234924316406,8948800
2024-05-10,279.54998779296875,281.0299987792969,279.239990234375,280.739990234375,276.59100341796875,8986400
2024-05-13,281.4599914550781,282.1499938964844,279.1000061035156,279.3900146484375,275.260986328125,10528400
2024-05-14,279.44000244140625,279.989990234375,274.2699890136719,277.739990234375,273.6353454589844,18526100
2024-05-15,277.1499938964844,281.7300109863281,277.07000732421875,281.5,277.3397521972656,21288400
2024-05-16,281.739990234375,282.3800048828125,279.260009765625,279.8399963378906,276.21453857421875,10341500
2024-05-17,280.04998779296875,280.9100036621094,278.1000061035156,280.1000061035156,276.47119140625,6177800
2024-05-20,279.2200012207031,280.2699890136719,278.17999267578125,278.5400085449219,274.931396484375,5460900
2024-05-21,278.0,278.42999267578125,274.8800048828125,275.95001220703125,272.37493896484375,6578200
2024-05-22,275.5299987792969,278.0799865722656,275.1199951171875,275.5799865722656,272.00970458984375,4202500
